Linha,023
Tabela,027
num,ponto,horario
109167,TERMINAL CAMPINA DO SIQUEIRA,16:48
109089,TERMINAL PORTAO,17:11
109093,TERMINAL CAPAO RASO,17:18
109109,TERMINAL HAUER,17:37
109117,TERMINAL CAPAO DA IMBUIA,17:57
109083,TERMINAL CABRAL,18:24
109167,TERMINAL CAMPINA DO SIQUEIRA,18:59
109089,TERMINAL PORTAO,19:22
109093,TERMINAL CAPAO RASO,19:30
109109,TERMINAL HAUER,19:47
109117,TERMINAL CAPAO DA IMBUIA,20:03
109083,TERMINAL CABRAL,20:24
109167,TERMINAL CAMPINA DO SIQUEIRA,20:48
109089,TERMINAL PORTAO,21:04
109093,TERMINAL CAPAO RASO,21:11
109109,TERMINAL HAUER,21:26
109117,TERMINAL CAPAO DA IMBUIA,21:42
109083,TERMINAL CABRAL,22:04
109167,TERMINAL CAMPINA DO SIQUEIRA,22:29
109089,TERMINAL PORTAO,22:45
109093,TERMINAL CAPAO RASO,22:52
109109,TERMINAL HAUER,23:07
109117,TERMINAL CAPAO DA IMBUIA,23:23
109083,TERMINAL CABRAL,23:48
109167,TERMINAL CAMPINA DO SIQUEIRA,00:10
